iter	Logloss	Accuracy
0	0.6848467486	0.5861096946
1	0.678818694	0.5865629781
2	0.6742176523	0.5934330557
3	0.6707705575	0.5947220806
4	0.6688576144	0.5946229248
5	0.6668770175	0.5956003173
6	0.6651146651	0.5993257408
7	0.6628549188	0.5993540711
8	0.6617259586	0.6001614822
9	0.6603868526	0.5995523826
10	0.6588393043	0.6008697377
11	0.6579601059	0.6012946909
12	0.6572630917	0.6018187999
13	0.6566193532	0.6032494759
14	0.6557900312	0.6042835288
15	0.6551140751	0.604311859
16	0.6544213845	0.6052042609
17	0.6538983506	0.6057567001
18	0.6534309584	0.6061533231
19	0.652931862	0.6067624228
20	0.6527067986	0.6072723667
21	0.6523611682	0.60769732
22	0.6519710052	0.6081222732
23	0.6516941889	0.608618052
24	0.6514056225	0.6089438495
25	0.6510032069	0.6090571704
26	0.6508153383	0.6089013542
27	0.6505786423	0.6091988215
28	0.6503013434	0.6095812794
29	0.650049266	0.609793756
30	0.6494452779	0.6100345629
31	0.6492306397	0.609921242
32	0.6490592865	0.6098645816
33	0.6488207817	0.6101053884
34	0.6485107233	0.6104311859
35	0.6482918504	0.6110119554
36	0.6480747703	0.6114227435
37	0.6478825978	0.6111111111
38	0.6477425715	0.6114369086
39	0.6475820202	0.6115360644
40	0.6474804522	0.6115643946
41	0.6473001261	0.6117768712
42	0.6472093665	0.6120601734
43	0.6471077019	0.6118335316
44	0.6469483581	0.6122018245
45	0.6468181357	0.6126551079
46	0.646650909	0.6129667403
47	0.646524087	0.6130092357
48	0.6463156914	0.613179217
49	0.6461789248	0.6132500425
50	0.6459975055	0.6140007932
51	0.6459066387	0.6141849397
52	0.6457562223	0.6143832512
53	0.645628581	0.6145673976
54	0.6455258229	0.6143832512
55	0.6453631674	0.6146807185
56	0.6452293621	0.615148167
57	0.6451018756	0.6154173041
58	0.6449900933	0.6157572667
59	0.6448552729	0.6156581109
60	0.6447336763	0.6158705876
61	0.6446840073	0.6160264038
62	0.6445855557	0.616054734
63	0.6444658565	0.6159555782
64	0.6444157931	0.6158705876
65	0.6443392459	0.6156864412
66	0.6441453984	0.6162813757
67	0.6441352447	0.6164088617
68	0.6440619621	0.6163663664
69	0.6439918013	0.6165646779
70	0.6439223205	0.6166779988
71	0.6438237166	0.6169896311
72	0.6437475348	0.6169613009
73	0.6436481221	0.617230438
74	0.6435520091	0.6172446031
75	0.6434671751	0.6172729333
76	0.6433742201	0.6172446031
77	0.6432672933	0.6176412261
78	0.6432178202	0.6175420704
79	0.643137043	0.6176695563
80	0.6430520223	0.6179103632
81	0.6429780182	0.6181370049
82	0.6427662291	0.6181086747
83	0.642696718	0.6180803445
84	0.6426432447	0.6178961981
85	0.6425353721	0.6180236841
86	0.6424292214	0.6183636467
87	0.6423593206	0.6184344722
88	0.6422892947	0.6183494816
89	0.6422192041	0.6183636467
90	0.6420610752	0.6188310952
91	0.6420007556	0.6188169301
92	0.6418426771	0.6189019208
93	0.6418001955	0.6189160859
94	0.641703508	0.619185223
95	0.6416299306	0.6192702136
96	0.6415366626	0.6192277183
97	0.6414250264	0.6193835345
98	0.6413205721	0.619326874
99	0.6412268051	0.6192702136
100	0.6410977608	0.6194260298
101	0.6409521758	0.6201342852
102	0.6408855722	0.6201201201
103	0.6408413275	0.6204459176
104	0.6408061161	0.6203467619
105	0.6407629145	0.620502578
106	0.6406836192	0.6203184316
107	0.6405928016	0.620502578
108	0.6404896787	0.6209275313
109	0.6404213511	0.6208142104
110	0.6403669391	0.621012522
111	0.6403061563	0.6213666497
112	0.6402297193	0.6212674939
113	0.6401268839	0.6213808148
114	0.6400167022	0.6214374752
115	0.6398451427	0.6216641169
116	0.6397721662	0.6217349425
117	0.6397268667	0.6218907587
118	0.6396425911	0.6222590515
119	0.63951981	0.6223157119
120	0.63940969	0.6224998583
121	0.6393073385	0.6224998583
122	0.6391768788	0.6224856932
123	0.63903079	0.6226273443
124	0.638994034	0.6229106465
125	0.6389556844	0.6228539861
126	0.6388961891	0.6231797836
127	0.6388451843	0.6231656184
128	0.63875777	0.6231656184
129	0.6387004883	0.6232647742
130	0.6385891416	0.6235339113
131	0.6384723598	0.6238172134
132	0.6384055667	0.6237180577
133	0.638333681	0.6238738739
134	0.6382756022	0.6240863505
135	0.6382303136	0.6239305343
136	0.6381693983	0.6240438552
137	0.6380623909	0.6243979829
138	0.6379600736	0.6243413225
139	0.637880822	0.6242280016
140	0.6378290893	0.6243979829
141	0.6377128397	0.6243554876
142	0.6376516649	0.6244263131
143	0.6375701057	0.6247096153
144	0.6375055016	0.6248371013
145	0.6374723057	0.6247379455
146	0.6374441661	0.6248371013
147	0.6373680646	0.6250354128
148	0.6372662185	0.6257011729
149	0.6371586662	0.6256303473
150	0.6370628702	0.6256303473
151	0.6369467845	0.6260128053
152	0.6368726515	0.6261402912
153	0.6367007743	0.6260411355
154	0.6365285925	0.6263952632
155	0.6364659105	0.6264660887
156	0.6363940308	0.6268202164
157	0.6362610059	0.6271318488
158	0.6361722312	0.6271176837
159	0.6360548735	0.6271885093
160	0.6359802807	0.6272593348
161	0.6359264023	0.6271743442
162	0.635837026	0.6273868208
163	0.635728953	0.6276134625
164	0.6356836883	0.6276276276
165	0.6355869815	0.6276842881
166	0.6354751264	0.6278825996
167	0.6353720484	0.6282225622
168	0.6352335846	0.6282508924
169	0.6351850624	0.6280809111
170	0.6351322254	0.6284208737
171	0.6350937706	0.6284492039
172	0.6350333129	0.6285341946
173	0.6349821903	0.6286191852
174	0.6348580817	0.6286333503
175	0.6347766885	0.6288316619
176	0.6347284683	0.6290016432
177	0.6346925918	0.6290866338
178	0.6346221783	0.6291857896
179	0.6345075767	0.6293132755
180	0.6344275142	0.6295257522
181	0.6343481473	0.6293274406
182	0.6342811762	0.6294549266
183	0.6341962266	0.6293841011
184	0.634137018	0.6295682475
185	0.6341094224	0.6297098986
186	0.6340623078	0.6299932007
187	0.633966661	0.6300498612
188	0.6339325574	0.6300498612
189	0.633796567	0.6306306306
190	0.6337599633	0.6307014562
191	0.6337258192	0.6305881353
192	0.633669306	0.6304748144
193	0.6336122747	0.630673126
194	0.6335234587	0.6309564281
195	0.6334030028	0.6313530512
196	0.6333433408	0.6313672163
197	0.6332239434	0.6317780044
198	0.6331966611	0.6318204997
199	0.6331052716	0.631593858
200	0.6330370514	0.6315796929
201	0.632972865	0.6317638393
202	0.6329204685	0.6317638393
203	0.6328467111	0.6319479857
204	0.6327338138	0.6322029577
205	0.6326448261	0.6323021134
206	0.6325510917	0.6322879483
207	0.6325002361	0.6321887926
208	0.6324551536	0.6323162785
209	0.6323539103	0.6327837271
210	0.632237037	0.6328828829
211	0.632201587	0.6329678735
212	0.6321385636	0.632897048
213	0.632100989	0.6331095246
214	0.6319795996	0.633548643
215	0.6319008433	0.6337327894
216	0.6318304812	0.6339311009
217	0.6317761504	0.6339877613
218	0.6317161621	0.6341152473
219	0.6316811232	0.6341152473
220	0.6316021622	0.6342568984
221	0.6315337758	0.6343985495
222	0.6314586611	0.6343560542
