iter	Passed	Remaining
0	165	164896
1	263	131383
2	359	119308
3	457	114010
4	558	111134
5	650	107775
6	743	105429
7	836	103691
8	934	102936
9	1055	104454
10	1184	106539
11	1272	104786
12	1370	104055
13	1469	103474
14	1572	103258
15	1664	102350
16	1758	101700
17	1853	101102
18	1934	99888
19	2039	99956
20	2140	99769
21	2243	99742
22	2344	99575
23	2438	99182
24	2532	98760
25	2631	98566
26	2721	98057
27	2821	97956
28	2919	97765
29	3017	97572
30	3104	97043
31	3198	96767
32	3295	96559
33	3395	96464
34	3492	96280
35	3577	95790
36	3665	95407
37	3764	95296
38	3860	95134
39	3963	95135
40	4062	95015
41	4159	94885
42	4256	94721
43	4347	94463
44	4445	94353
45	4542	94204
46	4652	94334
47	4744	94094
48	4843	94004
49	4937	93810
50	5040	93790
51	5132	93565
52	5225	93373
53	5321	93221
54	5414	93037
55	5502	92762
56	5593	92540
57	5690	92414
58	5786	92296
59	5886	92218
60	5972	91935
61	6064	91751
62	6157	91577
63	6245	91343
64	6340	91206
65	6444	91194
66	6538	91053
67	6572	90080
68	6667	89965
69	6751	89692
70	6840	89505
71	6943	89498
72	7042	89431
73	7137	89310
74	7235	89236
75	7334	89175
76	7429	89062
77	7531	89020
78	7618	88813
79	7714	88711
80	7805	88561
81	7902	88470
82	7996	88347
83	8098	88314
84	8196	88230
85	8294	88148
86	8398	88131
87	8494	88034
88	8586	87890
89	8684	87805
90	8784	87748
91	8880	87648
92	8980	87586
93	9073	87453
94	9169	87347
95	9257	87171
96	9362	87155
97	9452	87001
98	9541	86839
99	9637	86733
100	9732	86626
101	9832	86568
102	9929	86474
103	10026	86384
104	10125	86310
105	10221	86206
106	10311	86055
107	10408	85967
108	10505	85875
109	10589	85678
110	10688	85602
111	10787	85525
112	10883	85430
113	10977	85317
114	11076	85240
115	11174	85157
116	11268	85044
117	11355	84877
118	11442	84709
119	11535	84596
120	11632	84504
121	11727	84402
122	11818	84265
123	11907	84121
124	12007	84055
125	12106	83978
126	12207	83912
127	12310	83867
128	12396	83701
129	12498	83646
130	12591	83524
131	12685	83419
132	12775	83281
133	12856	83089
134	12950	82981
135	13047	82891
136	13144	82799
137	13231	82646
138	13333	82589
139	13446	82600
140	13546	82529
141	13637	82401
142	13730	82284
143	13821	82160
144	13924	82109
145	14023	82029
146	14117	81921
147	14211	81814
148	14311	81737
149	14412	81673
150	14514	81610
151	14610	81513
152	14714	81456
153	14799	81303
154	14897	81215
155	14998	81144
156	15084	80992
157	15170	80845
158	15246	80642
159	15339	80532
160	15442	80474
161	15548	80432
162	15640	80314
163	15739	80235
164	15831	80116
165	15928	80026
166	16026	79939
167	16127	79868
168	16224	79777
169	16323	79698
170	16420	79606
171	16521	79534
172	16605	79378
173	16695	79254
174	16780	79109
175	16875	79009
176	16965	78883
177	17059	78779
178	17148	78651
179	17242	78551
180	17345	78487
181	17454	78449
182	17543	78321
183	17639	78226
184	17738	78145
185	17836	78056
186	17940	78000
187	18030	77875
188	18132	77805
189	18234	77737
190	18329	77634
191	18428	77555
192	18528	77475
193	18625	77383
194	18718	77275
195	18817	77191
196	18911	77085
197	19008	76995
198	19099	76879
199	19195	76780
200	19290	76680
201	19394	76616
202	19497	76548
203	19607	76508
204	19708	76430
205	19807	76345
206	19904	76251
207	20006	76178
208	20107	76101
209	20202	76001
210	20300	75909
211	20396	75813
212	20501	75749
213	20599	75658
214	20699	75575
215	20791	75465
216	20883	75354
217	20975	75242
218	21080	75176
219	21177	75085
220	21275	74995
221	21372	74899
222	21474	74823
223	21570	74726
224	21663	74619
225	21759	74521
226	21854	74421
227	21948	74316
228	22048	74232
229	22140	74122
230	22238	74030
231	22336	73941
232	22425	73819
233	22517	73711
234	22622	73644
235	22716	73539
236	22808	73429
237	22898	73314
238	22995	73220
239	23092	73127
240	23187	73025
241	23279	72916
242	23376	72822
243	23476	72740
244	23572	72642
245	23650	72489
246	23750	72403
247	23849	72316
248	23956	72253
249	24053	72159
250	24159	72093
251	24255	71996
252	24348	71891
253	24448	71806
254	24551	71728
255	24637	71603
256	24726	71486
257	24820	71383
258	24919	71296
259	25017	71202
260	25118	71121
261	25214	71022
262	25306	70916
263	25399	70811
264	25501	70730
265	25595	70629
266	25690	70528
267	25791	70445
268	25887	70347
269	25980	70242
270	26080	70157
271	26174	70055
272	26265	69945
273	26374	69883
274	26474	69796
275	26572	69703
276	26667	69604
277	26765	69513
278	26861	69417
279	26962	69332
280	27056	69230
281	27183	69212
